TEMPO,BEATS,RMSE,SPECTRAL_CENTROID,SPECTRAL_BANDWIDTH,ROLLOFF,ZERO_CROSSING_RATE,MFCC_FEATURE0,MFCC_FEATURE1,MFCC_FEATURE2,MFCC_FEATURE3,MFCC_FEATURE4,MFCC_FEATURE5,MFCC_FEATURE6,MFCC_FEATURE7,MFCC_FEATURE8,MFCC_FEATURE9,MFCC_FEATURE10,MFCC_FEATURE11,MFCC_FEATURE12,MFCC_FEATURE13,MFCC_FEATURE14,MFCC_FEATURE15,MFCC_FEATURE16,MFCC_FEATURE17,MFCC_FEATURE18,MFCC_FEATURE19,category
135.99917763157896,48,0.0010319254,2614.399205184207,3122.2082516992427,6944.95233106453,0.07876419460386339,-581.59674,70.426445,22.19471,30.025953,25.58442,10.752324,14.147978,20.337656,-2.1985383,12.858627,-1.6495222,4.9090495,3.1916208,1.7369652,-2.1042979,0.09980384,-6.6743693,1.6676768,-2.6825023,3.491789,Anopheles dirus
123.046875,60,0.001676198,2727.9335096088735,2949.1567730431284,6465.985901067869,0.11773889500290248,-494.61658,85.79337,23.601398,5.6919794,-12.174919,-0.99167746,-3.7564566,-2.8047576,-11.329441,-6.880574,-12.022065,-4.559418,-8.085075,-2.6992006,-9.003576,-9.682886,-15.4545765,-7.5967493,-8.20598,-5.305314,Anopheles dirus
151.99908088235293,73,0.0019853027,2409.1735128772593,2788.1249687229247,5733.890327949642,0.09590607161861456,-490.66998,94.344025,20.578308,8.474398,-10.402601,-2.2948573,-2.3053284,-0.23642147,-9.974655,-5.486576,-10.0796795,-3.403451,-9.230087,-6.5143433,-9.925263,-7.152265,-13.592917,-8.486015,-7.5956516,-1.6283696,Anopheles dirus
143.5546875,72,0.001744944,2563.9595266309034,2875.027029763671,6173.096005466331,0.1048924118372678,-497.52283,89.87974,20.704103,7.8327713,-11.850305,-1.4830627,-4.0264354,-1.8372285,-11.897892,-7.4776063,-11.821131,-3.3223114,-7.3065786,-4.8497076,-11.475311,-9.64681,-13.3558,-6.033605,-7.60136,-2.5633454,Anopheles dirus
123.046875,58,0.0017555082,2414.209190984622,2824.1028559396627,5921.684071573826,0.09349942403727347,-502.50696,94.27597,20.207054,8.02618,-11.808852,-1.6465435,-3.355665,-0.91299987,-10.875545,-7.849085,-12.051908,-3.714033,-6.828717,-3.8416963,-10.433542,-9.470902,-13.904918,-5.844908,-6.4657707,-1.9830897,Anopheles dirus
129.19921875,62,0.0018261829,2544.8095008625114,2894.986994465027,6237.303950543005,0.1013013526751161,-497.4095,90.21086,21.233875,8.112445,-10.659938,-1.4732496,-3.827313,-1.2636043,-12.295149,-9.5523615,-13.496442,-3.8502526,-6.0979495,-3.800441,-11.845357,-10.478264,-13.1895075,-5.8918896,-7.537312,-2.7634892,Anopheles dirus
92.28515625,44,0.0019100135,2624.273438417251,2899.307354947407,6292.178618723394,0.10843131711977554,-479.94293,86.14583,17.195173,8.237328,-10.706386,-0.55525494,-4.7942567,-3.1698196,-11.972577,-8.992444,-13.831859,-3.5863502,-5.398232,-3.5474188,-11.628585,-11.035276,-14.600846,-7.6865134,-10.091291,-5.687243,Anopheles dirus
129.19921875,61,0.002115894,2361.2891569544777,2807.438881301146,5838.939692730505,0.08886000689338236,-490.91388,95.78827,18.554098,5.299496,-10.460969,0.34624147,-3.749331,-0.76064354,-12.8992195,-9.695472,-13.537267,-3.9702678,-7.272887,-4.130042,-10.265026,-8.64739,-13.678481,-8.464233,-10.244255,-4.6355667,Anopheles dirus
123.046875,50,0.0017215195,2561.2511887529145,2834.17871975738,6077.152835621553,0.1059561336741728,-486.03183,88.304436,12.546281,8.207069,-9.455751,-2.6343508,-5.1287274,-1.7065074,-12.556398,-10.214311,-14.666132,-5.5985627,-8.259492,-4.248189,-9.887062,-8.331061,-12.431195,-5.954155,-8.332593,-4.6075983,Anopheles dirus
151.99908088235293,72,0.0021120827,2739.30222952618,2919.827944208077,6420.619508725571,0.11905710320723684,-474.95172,83.01904,16.050848,8.3097105,-9.353804,-2.8116488,-3.9463162,-2.4841025,-11.6349,-10.457612,-14.666227,-6.3304205,-8.277178,-5.614984,-9.430038,-8.108518,-12.090749,-6.436324,-7.740804,-3.0354166,Anopheles dirus
89.10290948275862,37,0.0017718092,2359.578217498691,2820.2731867978414,5877.014462497581,0.08752932710913312,-507.15854,95.87576,20.032598,5.928835,-11.875226,-1.7979529,-3.0015488,-2.179327,-12.440372,-9.7275095,-12.94609,-4.747534,-6.718617,-4.1618595,-10.059875,-9.496712,-13.571558,-7.8919206,-8.250166,-2.6897304,Anopheles dirus
135.99917763157896,48,0.0010319254,2614.399205184207,3122.2082516992427,6944.95233106453,0.07876419460386339,-581.59674,70.426445,22.19471,30.025953,25.58442,10.752324,14.147978,20.337656,-2.1985383,12.858627,-1.6495222,4.9090495,3.1916208,1.7369652,-2.1042979,0.09980384,-6.6743693,1.6676768,-2.6825023,3.491789,Anopheles dirus
61.5234375,15,0.0029317196,1338.9935440124116,957.9997474117073,2566.792812288361,0.10452771260642414,-495.29004,188.1385,-78.8175,-1.0318655,18.51527,-49.03237,-4.6113153,1.4011966,-33.105217,-2.8269198,-3.4644723,-19.956411,6.003154,1.5877126,-9.811605,6.454147,-1.4557127,-5.6948657,7.839066,-1.8394743,Anopheles dirus
117.45383522727273,45,0.002790595,1389.9685118115444,980.3463134320272,2645.225671348926,0.1151493415005805,-528.8942,236.09767,-109.28628,8.940549,28.805193,-61.37699,3.9074638,5.4935026,-39.020977,4.8154273,-3.8408854,-25.283606,10.153858,-2.0847983,-13.941029,9.050062,-5.633415,-6.8501205,11.624375,-3.353564,Anopheles dirus
198.76802884615384,81,0.0033325139,1371.488137183769,921.7161135860606,2516.0681190136415,0.1091452205882353,-475.28946,183.10524,-83.52899,-8.165157,17.79419,-45.96007,-5.781626,0.54117084,-32.5369,-4.854278,-3.8864322,-15.937017,10.932173,4.499792,-11.367821,1.7534807,-3.852629,-5.196594,7.6759806,-3.3897157,Anopheles dirus
151.99908088235293,58,0.0037151205,1350.6234586051685,939.6950899475415,2541.867963005515,0.105093846749226,-453.13998,144.03343,-56.53497,-9.455077,10.397576,-37.835644,-10.4231205,-1.4218634,-26.80941,-7.76608,-2.8174734,-14.410967,3.6286416,4.293139,-7.796578,0.79911876,-1.7527263,-5.8577275,5.1593976,1.0656321,Anopheles dirus
99.38401442307692,41,0.0031933961,1346.4318159572179,984.1898002365731,2614.7341890600815,0.10723631300793343,-469.43948,172.11552,-66.10414,2.394875,18.975544,-43.69733,-4.7934203,1.8493727,-29.905878,-3.3615472,-3.5741458,-20.351217,2.5581334,0.0015200683,-11.241438,3.4363315,-2.4655068,-6.8025045,6.6172485,-0.46597654,Anopheles dirus
135.99917763157896,48,0.0010319254,2614.399205184207,3122.2082516992427,6944.95233106453,0.07876419460386339,-581.59674,70.426445,22.19471,30.025953,25.58442,10.752324,14.147978,20.337656,-2.1985383,12.858627,-1.6495222,4.9090495,3.1916208,1.7369652,-2.1042979,0.09980384,-6.6743693,1.6676768,-2.6825023,3.491789,Anopheles dirus
117.45383522727273,57,0.0022808365,2875.9025710818237,2950.157128037104,6651.809777416312,0.1273140449642028,-492.17038,74.92917,12.910353,13.417479,5.286334,5.0846796,3.379142,21.546167,-3.7485287,15.075477,2.6307259,6.093153,7.883245,5.0945992,1.0058002,5.34917,-4.7492485,3.3787634,-1.1323231,5.8360453,Anopheles dirus
135.99917763157896,65,0.038995106,3082.926436889648,2814.77881551245,6597.80929771139,0.15547750111518635,-363.46103,41.195007,10.831514,12.193895,0.6668476,4.3009133,-3.2221737,10.303347,-0.191129,10.457135,7.399944,4.9190598,6.8462543,2.7511153,2.6192927,1.2985756,-4.6595855,-0.13750108,-0.65063363,2.370434,Anopheles dirus
135.99917763157896,64,0.0027952334,3301.520536786176,2945.803046619213,6980.082792394302,0.16883382413409442,-464.4609,57.1522,7.616977,16.237207,5.8981943,8.862888,-1.8413599,20.039604,-6.3040605,12.913618,4.2065263,6.5441456,10.530421,5.4532914,1.3436555,6.2331195,-3.521916,5.44422,-1.0628172,4.3398514,Anopheles dirus
123.046875,60,0.002142769,3069.6629623544723,2892.545926944149,6711.892747436145,0.14741142910700464,-483.66086,64.1607,6.076652,20.936092,5.755552,10.298161,0.5891538,21.384521,-4.1432576,13.195367,-0.121324755,2.278987,5.140598,3.3882515,-0.6801246,4.5211086,-4.690972,5.9265494,0.877178,6.9142203,Anopheles dirus
107.666015625,53,0.0012534927,3068.946373275548,3019.2705914186554,7038.799104011465,0.13581172600619196,-522.58386,63.997967,7.8603024,19.16583,10.389505,8.038734,5.791824,21.86895,-3.7070036,14.483256,0.15664403,3.8077502,4.7288594,3.8119712,1.360616,4.558423,-7.3039484,3.1088848,0.82003105,6.420121,Anopheles dirus
198.76802884615384,99,0.0042771646,2474.475836957967,3004.0018691858036,6379.31975845951,0.07699348756772446,-465.52313,58.83347,29.939558,25.75044,16.158684,13.943752,13.411435,10.482381,7.902891,5.43824,4.673693,6.4081745,5.9155354,4.383668,2.085201,0.70066667,0.45995268,0.95620716,2.3870177,3.5386698,Anopheles dirus
129.19921875,65,0.004388604,2604.7612237174453,2966.1054240553963,6395.061329939048,0.091740186000387,-472.09085,73.97321,21.932634,28.42294,9.626657,13.391705,10.330067,11.740676,3.9621446,5.417638,-0.30450395,8.520569,4.2524066,7.1589713,0.6138177,2.1519058,-1.5368464,2.459843,0.29124165,5.2269406,Anopheles dirus
